Country;N;Prop_nonmis;Mean;SD;Min;Max;Alpha;;;
Argentina;5923;0.889;2626;1036;1.000;5;0.738;;;
Australia;327;0.899;2701;0.998;1.000;5;0.771;;;
Austria;319;0.893;2658;0.987;1.000;5;0.765;;;
Bangladesh;421;0.824;2790;0.856;1.000;5;0.576;;;
Belgium;622;0.923;2575;1017;1.000;5;0.811;;;SLON: escala de solidão
Bosnia and Herzegovina;1288;0.880;2905;0.935;1.000;5;0.740;;;Estatísticas descritivas e alfa de Cronbach para o SLON em países com mais de 200 participantes.
Brazil;731;0.912;2755;0.913;1.000;5;0.714;;;
Bulgaria;4785;0.884;2743;1020;1.000;5;0.737;;;
Canada;470;0.904;2726;0.959;1.000;5;0.765;;;
Croatia;2965;0.902;2901;0.894;1.000;5;0.737;;;
Czech Republic;1995;0.893;2952;0.971;1.000;5;0.761;;;
Denmark;10891;0.922;2308;0.890;1.000;5;0.720;;;
Finland;22933;0.935;2647;1026;1.000;5;0.842;;;
France;13475;0.923;2420;1027;1.000;5;0.793;;;
Germany;1443;0.921;2700;0.997;1.000;5;0.774;;;
Greece;642;0.919;2543;0.957;1.000;5;0.735;;;
Hungary;1438;0.893;2806;0.874;1.000;5;0.721;;;
Indonesia;1569;0.872;2352;0.952;1.000;5;0.799;;;
Ireland;216;0.884;2611;0.967;1.000;5;0.724;;;
Italy;1749;0.916;2757;0.973;1.000;5;0.776;;;
Japan;5072;0.951;2441;0.891;1.000;5;0.780;;;
Korea, South;487;0.817;2421;0.881;1.000;5;0.712;;;
Kosovo;2707;0.839;2324;0.884;1.000;5;0.618;;;
Lithuania;8255;0.909;2571;0.954;1.000;5;0.766;;;
Malaysia;567;0.877;2462;0.986;1.000;5;0.828;;;
Mexico;9169;0.926;2494;1010;1.000;5;0.782;;;
Netherlands;1433;0.911;2491;0.887;1.000;5;0.786;;;
Pakistan;360;0.769;2712;1052;1.000;5;0.699;;;
Panama;759;0.881;2220;0.837;1.000;5;0.675;;;
Philippines;570;0.918;2780;0.905;1.000;5;0.719;;;
Poland;3088;0.905;3052;1047;1.000;5;0.806;;;
Portugal;1067;0.898;2592;0.939;1.000;5;0.721;;;
Romania;282;0.879;2868;0.899;1.000;5;0.724;;;
Serbia;266;0.917;2825;0.932;1.000;5;0.696;;;
Slovakia;942;0.883;2963;0.935;1.000;5;0.747;;;
Spain;615;0.901;2530;1014;1.000;5;0.771;;;
Sweden;3055;0.918;2580;0.990;1.000;5;0.807;;;
Switzerland;1188;0.929;2468;0.936;1.000;5;0.764;;;
Taiwan;2745;0.890;1887;0.852;1.000;5;0.790;;;
Turkey;1199;0.888;2781;0.788;1.000;5;0.536;;;
United Kingdom;1500;0.891;2696;1001;1.000;5;0.772;;;
United States;2314;0.922;2672;1005;1.000;5;0.778;;;
;;;;;;;;;;
;;;;;;;;;;
;N = número de participantes.;Prop_nonmissing = proporção de participantes que possuem dados sobre todos os itens da escala.;Média = média da escala.;SD = desvio padrão da escala.;Min = valor mínimo da pontuação média da escala.;Máx = valor máximo da pontuação média da escala.;Alfa = alfa de Cronbach.;;;
