Country;N;Prop_nonmis;Mean;SD;Min;Max;Alpha;;;
Argentina;5923;0,595;4.833;0,833;1;6;0,89;;;
Austrália;327;0,749;4,936;0,875;1;6;0,933;;;
Áustria;319;0,652;5,184;0,681;2.200;6;0,895;;;
Bangladesh;421;0,558;4,806;0,77;2.100;6;0,901;;;SPS: Sensibilidade de processamento sensorial
Bélgica;622;0,756;4.860;0,803;1;6;0,885;;;Estatísticas descritivas e alfa de Cronbach para o SPS em países com mais de 200 participantes.
Bósnia e Herzegovina;1288;0,686;4.885;0,786;1;6;0,906;;;
Brasil;731;0,688;5,167;0,71;2,375;6;0,904;;;
Bulgária;4785;0,685;4,808;0,79;1;6;0,886;;;
Canadá;470;0,77;4.868;0,818;1.400;6;0,91;;;
Croácia;2965;0,737;5.059;0,709;1.500;6;0,893;;;
República Checa;1995;0,727;4,925;0,758;1.400;6;0,904;;;
Dinamarca;10891;0,752;5,203;0,693;1;6;0,902;;;
Finlândia;22933;0,796;5.026;0,786;1;6;0,912;;;
França;13475;0,77;4.881;0,805;1;6;0,884;;;
Alemanha;1443;0,749;5.091;0,746;1.200;6;0,901;;;
Grécia;642;0,754;5.020;0,691;2.200;6;0,891;;;
Hungria;1438;0,663;4.819;0,791;1;6;0,893;;;
Indonésia;1569;0,611;4.590;0,741;1;6;0,892;;;
Irlanda;216;0,694;5.045;0,702;2.800;6;0,897;;;
Itália;1749;0,735;4.891;0,736;1;6;0,891;;;
Japão;5072;0,874;3,548;0,995;1;6;0,937;;;
Coréia do Sul;487;0,682;4.722;0,786;1;6;0,904;;;
Kosovo;2707;0,498;4.881;0,717;1.700;6;0,878;;;
Lituânia;8255;0,728;4,954;0,71;1;6;0,916;;;
Malásia;567;0,711;4.725;0,799;1;6;0,918;;;
México;9169;0,713;5,107;0,803;1;6;0,921;;;
Holanda;1433;0,752;5.029;0,69;1;6;0,909;;;
Paquistão;360;0,525;4.750;0,822;1.100;6;0,908;;;
Panamá;759;0,631;5,187;0,726;1.100;6;0,914;;;
Filipinas;570;0,786;4.684;0,891;1;6;0,936;;;
Polônia;3088;0,69;5.000;0,743;1;6;0,918;;;
Portugal;1067;0,627;5,109;0,682;1.900;6;0,893;;;
Romênia;282;0,624;4.890;0,766;2.200;6;0,909;;;
Sérvia;266;0,729;5.016;0,709;2.800;6;0,89;;;
Eslováquia;942;0,669;4.862;0,79;1;6;0,914;;;
Espanha;615;0,676;4.970;0,832;1.200;6;0,904;;;
Suécia;3055;0,765;5,119;0,701;1.300;6;0,892;;;
Suíça;1188;0,765;5.120;0,717;1;6;0,901;;;
Taiwan;2745;0,754;4.373;0,856;1;6;0,91;;;
Turquia;1199;0,689;4,935;0,805;1;6;0,909;;;
Reino Unido;1500;0,706;4,991;0,75;1.700;6;0,906;;;
Estados Unidos;2314;0,779;5,109;0,758;1;6;0,92;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;N = número de participantes.;Prop_nonmis = proporção de participantes que possuem dados sobre todos os itens da escala.;Mean = média da escala.;SD = desvio padrão da escala.;Min = valor mínimo da pontuação média da escala.;Máx = valor máximo da pontuação média da escala.;Alfa = alfa de Cronbach.;;;
;;;;;;;;;;
;;;;;;;;;;
