Country;N;Prop_nonmis;Mean;SD;Min;Max;Alpha;;;
Argentina;5923;0,817;4.766;0,825;1;6;0,558;;;
Austrália;327;0,841;4.350;0,8;2.000;6;0,509;;;
Áustria;319;0,799;4.556;0,841;1.667;6;0,669;;;
Bangladesh;421;0,736;4.116;0,834;1.500;6;0,536;;;BFI-S conscienciosidade
Bélgica;622;0,865;4.129;0,901;1.667;6;0,542;;;Estatísticas descritivas e alfa de Cronbach para uma escala de conscienciosidade BFI-S em países com mais de 200 participantes.
Bósnia e Herzegovina;1288;0,839;4.714;0,782;2.000;6;0,603;;;
Brasil;731;0,832;4.089;0,811;1;6;0,352;;;
Bulgária;4785;0,841;4.884;0,732;1.667;6;0,511;;;
Canadá;470;0,851;4.363;0,879;1.333;6;0,641;;;
Croácia;2965;0,858;4.585;0,813;1.333;6;0,635;;;
República Checa;1995;0,833;3.814;0,8;1;6;0,51;;;
Dinamarca;10891;0,869;4.576;0,756;1;6;0,376;;;
Finlândia;22933;0,891;4.375;0,844;1;6;0,608;;;
França;13475;0,872;4.054;0,929;1;6;0,568;;;
Alemanha;1443;0,868;4.329;0,854;1;6;0,588;;;
Grécia;642;0,861;4.267;0,779;1.667;6;0,411;;;
Hungria;1438;0,806;4.406;0,867;1;6;0,628;;;
Indonésia;1569;0,79;3,993;0,792;1.667;6;0,575;;;
Irlanda;216;0,843;4,418;0,869;2.000;6;0,65;;;
Itália;1749;0,864;4.318;0,84;1.333;6;0,487;;;
Japão;5072;0,928;3,536;0,777;1;6;0,502;;;
Coréia do Sul;487;0,789;4.123;0,863;1.333;6;0,667;;;
Kosovo;2707;0,752;4.760;0,728;1;6;0,404;;;
Lituânia;8255;0,856;4.087;0,757;1;6;0,41;;;
Malásia;567;0,804;4,226;0,804;1;6;0,546;;;
México;9169;0,849;4.796;0,804;1;6;0,57;;;
Holanda;1433;0,864;4.561;0,741;1;6;0,483;;;
Paquistão;360;0,697;4,218;0,825;2.333;6;0,475;;;
Panamá;759;0,812;5,009;0,724;2.333;6;0,545;;;
Filipinas;570;0,877;4.036;0,789;1;6;0,46;;;
Polônia;3088;0,837;4,217;0,815;1;6;0,566;;;
Portugal;1067;0,807;4.160;0,76;2.000;6;0,339;;;
Romênia;282;0,801;4.394;0,788;1.667;6;0,457;;;
Sérvia;266;0,868;4.324;0,823;1.667;6;0,624;;;
Eslováquia;942;0,811;4.345;0,81;1;6;0,581;;;
Espanha;615;0,834;4.578;0,841;1.667;6;0,545;;;
Suécia;3055;0,878;4.530;0,785;1.667;6;0,607;;;
Suíça;1188;0,881;4.534;0,813;1.333;6;0,583;;;
Taiwan;2745;0,862;3,622;0,832;1;6;0,542;;;
Turquia;1199;0,809;4.533;0,82;1.333;6;0,518;;;
Reino Unido;1500;0,835;4.395;0,824;1;6;0,576;;;
Estados Unidos;2314;0,868;4.515;0,8;1.667;6;0,548;;;
;;;;;;;;;;
;N = número de participantes.;Prop_nonmissing = proporção de participantes que possuem dados sobre todos os itens da escala.;Média = média da escala.;SD = desvio padrão da escala.;Min = valor mínimo da pontuação média da escala.;Máx = valor máximo da pontuação média da escala.;Alfa = alfa de Cronbach.;;;
