Country;N;Prop_nonmis;Mean;SD;Min;Max;Alpha;;;
Argentina;5923;0,81;3,953;1,002;1;6;0,641;;;
Austrália;327;0,847;3,786;1,184;1;6;0,816;;;
Áustria;319;0,796;4.315;1.088;1;6;0,813;;;BFI-S extroversão
Bangladesh;421;0,732;4,13;1.061;1;6;0,746;;;Estatísticas descritivas e alfa de Cronbach para a escala de extroversão do BFI-S em países com mais de 200 participantes.
Bélgica;622;0,867;3,847;1,198;1;6;0,792;;;
Bósnia e Herzegovina;1288;0,844;4.444;0,988;1;6;0,755;;;
Brasil;731;0,832;4.195;1.062;1;6;0,766;;;
Bulgária;4785;0,838;4.500;0,967;1;6;0,713;;;
Canadá;470;0,855;3,672;1,143;1;6;0,808;;;
Croácia;2965;0,857;4.351;1,009;1;6;0,775;;;
República Checa;1995;0,834;3.852;1.098;1;6;0,82;;;
Dinamarca;10891;0,877;4.190;1,005;1;6;0,709;;;
Finlândia;22933;0,891;4.148;1.132;1;6;0,823;;;
França;13475;0,871;3.796;1,196;1;6;0,82;;;
Alemanha;1443;0,865;4,009;1,109;1;6;0,782;;;
Grécia;642;0,861;4.353;1.012;1;6;0,765;;;
Hungria;1438;0,8;4,226;1.035;1;6;0,728;;;
Indonésia;1569;0,79;3.843;0,965;1;6;0,694;;;
Irlanda;216;0,843;3,986;1.081;1.333;6;0,749;;;
Itália;1749;0,87;4,005;1.063;1;6;0,765;;;
Japão;5072;0,924;3,117;0,905;1;6;0,662;;;
Coréia do Sul;487;0,791;3,513;0,882;1;6;0,506;;;
Kosovo;2707;0,752;4.156;0,877;1;6;0,526;;;
Lituânia;8255;0,855;3.473;1,009;1;6;0,686;;;
Malásia;567;0,802;3.482;1.071;1;6;0,768;;;
México;9169;0,849;3,71;1,145;1;6;0,767;;;
Holanda;1433;0,862;4.082;1.029;1;6;0,774;;;
Paquistão;360;0,708;3,916;1.079;1.333;6;0,67;;;
Panamá;759;0,81;3,807;1.022;1;6;0,647;;;
Filipinas;570;0,877;3.668;1.084;1;6;0,733;;;
Polônia;3088;0,836;3.926;0,999;1;6;0,7;;;
Portugal;1067;0,813;4.266;1.057;1;6;0,794;;;
Romênia;282;0,812;4.199;1.048;1.333;6;0,788;;;
Sérvia;266;0,868;4.072;0,941;1.333;6;0,632;;;
Eslováquia;942;0,804;4.025;1;1;6;0,751;;;
Espanha;615;0,836;4.139;1.083;1;6;0,738;;;
Suécia;3055;0,881;4,205;1.027;1;6;0,805;;;
Suíça;1188;0,882;4,202;1.053;1;6;0,794;;;
Taiwan;2745;0,863;3,536;1,148;1;6;0,861;;;
Turquia;1199;0,808;4,502;1,003;1;6;0,757;;;
Reino Unido;1500;0,839;3.870;1.100;1;6;0,768;;;
Estados Unidos;2314;0,872;3.810;1.203;1;6;0,827;;;
;;;;;;;;;;
;N = número de participantes.;Prop_nonmissing = proporção de participantes que possuem dados sobre todos os itens da escala.;Média = média da escala.;SD = desvio padrão da escala.;Min = valor mínimo da pontuação média da escala.;Máx = valor máximo da pontuação média da escala.;Alfa = alfa de Cronbach.;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
