Country;N;Prop_nonmis;Mean;SD;Min;Max;Alpha;;;
Argentina;5923;0,819;3,763;0,968;1;6;0,596;;;
Austrália;327;0,844;3.292;1.060;1;6;0,709;;;
Áustria;319;0,796;3.054;0,973;1;5,666667;0,702;;;
Bangladesh;421;0,739;3.197;0,972;1;6;0,61;;;BFI-S neuroticismo
Bélgica;622;0,868;3.277;1.018;1;6;0,67;;;Estatísticas descritivas e alfa de Cronbach para a escala de neuroticismo BFI-S em países com mais de 200 participantes.
Bósnia e Herzegovina;1288;0,843;3.136;0,978;1;6;0,646;;;
Brasil;731;0,833;3.602;1.110;1;6;0,713;;;
Bulgária;4785;0,842;3.048;1,002;1;6;0,645;;;
Canadá;470;0,857;3.439;1.033;1;6;0,726;;;
Croácia;2965;0,858;3.204;0,994;1;6;0,702;;;
República Checa;1995;0,834;3,597;0,994;1;6;0,736;;;
Dinamarca;10891;0,877;2.962;1.087;1;6;0,732;;;
Finlândia;22933;0,892;3.092;1.040;1;6;0,722;;;
França;13475;0,872;3,535;1,109;1;6;0,735;;;
Alemanha;1443;0,866;3,167;1.036;1;6;0,733;;;
Grécia;642;0,86;3,565;0,979;1;6;0,59;;;
Hungria;1438;0,809;3.308;0,983;1;6;0,664;;;
Indonésia;1569;0,791;3,625;0,767;1;6;0,44;;;
Irlanda;216;0,838;3.353;1.001;1;6;0,715;;;
Itália;1749;0,867;3.358;0,985;1;6;0,613;;;
Japão;5072;0,928;3.793;0,982;1;6;0,752;;;
Coréia do Sul;487;0,784;3.335;0,916;1;6;0,571;;;
Kosovo;2707;0,758;3.387;1,002;1;6;0,63;;;
Lituânia;8255;0,856;3.419;0,949;1;6;0,681;;;
Malásia;567;0,804;3.666;0,828;1.667;6;0,506;;;
México;9169;0,852;3,571;0,978;1;6;0,637;;;
Holanda;1433;0,862;2.967;1.026;1;6;0,749;;;
Paquistão;360;0,703;3,802;0,92;1;6;0,444;;;
Panamá;759;0,814;3.362;0,867;1;6;0,482;;;
Filipinas;570;0,879;3,725;0,883;1;6;0,508;;;
Polônia;3088;0,838;3.497;0,956;1;6;0,646;;;
Portugal;1067;0,812;3,763;1,143;1;6;0,763;;;
Romênia;282;0,812;3.270;0,987;1;6;0,669;;;
Sérvia;266;0,872;3.330;0,874;1.333;5,666667;0,525;;;
Eslováquia;942;0,809;3.359;0,991;1;6;0,762;;;
Espanha;615;0,833;3.440;1.058;1;6;0,68;;;
Suécia;3055;0,883;2,905;1.026;1;6;0,772;;;
Suíça;1188;0,875;2.937;1.013;1;6;0,711;;;
Taiwan;2745;0,863;3,802;0,919;1;6;0,69;;;
Turquia;1199;0,81;3.422;1.025;1;6;0,674;;;
Reino Unido;1500;0,84;3.361;1.026;1;6;0,698;;;
Estados Unidos;2314;0,869;3.420;1.028;1;6;0,693;;;
;;;;;;;;;;
;N = número de participantes.;Prop_nonmissing = proporção de participantes que possuem dados sobre todos os itens da escala.;Média = média da escala.;SD = desvio padrão da escala.;Min = valor mínimo da pontuação média da escala.;Máx = valor máximo da pontuação média da escala.;Alfa = alfa de Cronbach.;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
