Country;N;Prop_nonmis;Mean;SD;Min;Max;Alpha;;;
Argentina;5923;0,814;4.762;0,861;1;6;0,62;;;
Austrália;327;0,847;4.528;0,862;1.667;6;0,608;;;
Áustria;319;0,799;4.711;0,832;1.333;6;0,597;;;
Bangladesh;421;0,734;4.580;0,704;2.000;6;0,504;;;BFI-S abertura
Bélgica;622;0,87;4.525;0,907;1;6;0,611;;;Estatísticas descritivas e alfa de Cronbach para a escala de abertura do BFI-S em países com mais de 200 participantes.
Bósnia e Herzegovina;1288;0,839;4.668;0,812;1.333;6;0,604;;;
Brasil;731;0,836;4.586;0,898;1.667;6;0,62;;;
Bulgária;4785;0,843;4,706;0,816;1;6;0,586;;;
Canadá;470;0,853;4.635;0,881;1.667;6;0,629;;;
Croácia;2965;0,858;4.649;0,82;1.333;6;0,628;;;
República Checa;1995;0,832;4,417;0,821;1;6;0,616;;;
Dinamarca;10891;0,875;4.352;0,983;1;6;0,607;;;
Finlândia;22933;0,891;4.664;0,879;1;6;0,653;;;
França;13475;0,87;4,431;0,945;1;6;0,628;;;
Alemanha;1443;0,866;4,631;0,864;1;6;0,653;;;
Grécia;642;0,868;4.556;0,814;1.667;6;0,525;;;
Hungria;1438;0,806;4.113;0,857;1;6;0,474;;;
Indonésia;1569;0,788;4.576;0,706;1;6;0,618;;;
Irlanda;216;0,833;4.321;0,902;1;6;0,606;;;
Itália;1749;0,86;4.514;0,872;1;6;0,584;;;
Japão;5072;0,927;3.364;0,938;1;6;0,74;;;
Coréia do Sul;487;0,786;4,403;0,9;1.667;6;0,693;;;
Kosovo;2707;0,752;4,618;0,762;1;6;0,472;;;
Lituânia;8255;0,856;4,436;0,829;1;6;0,586;;;
Malásia;567;0,804;4.365;0,765;2.000;6;0,5;;;
México;9169;0,849;4.886;0,769;1;6;0,636;;;
Holanda;1433;0,864;4.391;0,879;1;6;0,579;;;
Paquistão;360;0,706;4.595;0,789;2.000;6;0,456;;;
Panamá;759;0,808;4,968;0,74;1;6;0,643;;;
Filipinas;570;0,881;4.396;0,925;1;6;0,646;;;
Polônia;3088;0,838;4,436;0,857;1.333;6;0,625;;;
Portugal;1067;0,812;4.401;0,885;1;6;0,587;;;
Romênia;282;0,812;4.538;0,821;1;6;0,593;;;
Sérvia;266;0,872;4.587;0,806;2.333;6;0,649;;;
Eslováquia;942;0,805;4.622;0,775;1;6;0,649;;;
Espanha;615;0,828;4.693;0,862;1.667;6;0,689;;;
Suécia;3055;0,882;4.449;0,908;1;6;0,647;;;
Suíça;1188;0,877;4.517;0,852;1.333;6;0,592;;;
Taiwan;2745;0,863;4.200;0,847;1;6;0,66;;;
Turquia;1199;0,808;4.721;0,814;1.333;6;0,706;;;
Reino Unido;1500;0,842;4.557;0,851;1.500;6;0,601;;;
Estados Unidos;2314;0,87;4.652;0,84;2.000;6;0,611;;;
;;;;;;;;;;
;;;;;;;;;;
;N = número de participantes.;Prop_nonmissing = proporção de participantes que possuem dados sobre todos os itens da escala.;Média = média da escala.;SD = desvio padrão da escala.;Min = valor mínimo da pontuação média da escala.;Máx = valor máximo da pontuação média da escala.;Alfa = alfa de Cronbach.;;;
